url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Servicio,Garage,Calefacción,Cocina,Año de Construcción,Jardín,Dormitorios Suite,Piscina,Orientación,Plantas,Parrillero,Acepta Mascotas,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Seguridad,Altura,Aptos por piso,Patio,Muebles,Propiedad Horizontal,Gastos Comúnes,Piso,Ascensor
https://www.casasymas.com.uy/propiedad/190634-venta-de-hermosa-casa-de-epoca-en-cordon,U$S 180.000Venta,4,2,170 m²,165m²,170m²,,Garaje: 3,,Cocina Definida,1942,Jardín,,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/226113-casa-en-venta-de-3-dormitorios-c-cochera-en-la-blanqueada,U$S 169.000Venta,3,2,302 m²,160m²,120m²,,Garaje: 1,,Cocina Definida,1945,Jardín,,,Norte,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/225910-casa-en-venta-de-2-dormitorios-en-malvin,U$S 135.000Venta,2,1,70 m²,70m²,,,,,Cocina Definida,1975,,,,Este,,,Acepta Mascotas,3m²,,,,,,,,,Propiedad Horizontal,,,
https://www.casasymas.com.uy/propiedad/200931-venta-casa-de-categoria-5-dormitorios-servicio-san-nicolas-ref-1884,ConsultarVenta,5,5,494 m²,494m²,1029m²,Dormitorios de Servicio: 1,Cochera: 4,Losa radiante,Cocina Definida,2016,Jardín,Dormitorios en Suite: 2,Piscina,,2,Parrillero,,,,,,Seguridad 24hs,,,,,,$U 15000,,
https://www.casasymas.com.uy/propiedad/174733-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo,U$S 350.000Venta,3,2,,142m²,145m²,,Garaje: 1,,,1943,Jardín,,,,2,,Acepta Mascotas,20m²,,,,Rejas,,,,,,,,
https://www.casasymas.com.uy/propiedad/227252-casa-en-venta-de-4-dormitorios-c-cochera-en-punta-carretas,U$S 980.000Venta,4,3,445 m²,329m²,116m²,,Garaje: 2,,Cocina Definida,1985,Jardín,,,Norte,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/165774-palacio-delucchi,U$S 2.900.000Venta,7,5,,2461m²,722m²,Dormitorios de Servicio: 4,Garaje: 6,,Cocina Definida,1891,,,,,2,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/205414-venta-casa-3-dormitorios-2-banos-gran-fondo-parrillero-ygge,U$S 260.000Venta,3,2,715 m²,158m²,715m²,,Garaje: 1,,Cocina Definida,1976,Jardín,,,,,,,,,,,,,,,Muebles,,,,
https://www.casasymas.com.uy/propiedad/183266-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 850.000Venta,4,3,429 m²,256m²,429m²,Dormitorios de Servicio: 1,Garaje: 4,,Cocina Definida,2005,Jardín,Dormitorios en Suite: 1,,,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/205399-venta-buceo-casa-3-dormitorios-gran-fondo-barbacoa-gge,U$S 370.000Venta,3,3,497 m²,195m²,497m²,,Garaje: 1,,Cocina Definida,1989,Jardín,,,,,,Acepta Mascotas,,,,,,,,,,,,,
