url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Superficie Balcones,Garage,Parrillero,Orientación,Cocina,Año de Construcción,Jardín,Dormitorios Servicio,Calefacción,Acepta Mascotas,Piscina,Plantas,Seguridad,Disposición,Lavadero,Dormitorios Suite,Propiedad Horizontal,Muebles,Pisos Edificio,Altura,Aptos por piso,Gastos Comúnes,Patio,Piso
https://www.casasymas.com.uy/propiedad/124011-casa-en-venta-de-3-dormitorios-en-san-nicolas-montevideo,U$S 1.400.000Venta,3,3,1193 m²,220m²,1193m²,,Garaje: 2,,Norte,,1,,Dormitorios de Servicio: 1,,,Piscina,,,,,Dormitorios en Suite: 1,,,,,,U$S 650,,
https://www.casasymas.com.uy/propiedad/179495-casa-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,U$S 335.000Venta,4,2,137 m²,137m²,164m²,,Garaje: 1,Parrillero,,Cocina Integrada,,,,,Acepta Mascotas,,3,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/185077-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 410.000Venta,3,3,290 m²,140m²,290m²,,Garaje: 2,,,Cocina Definida,1,Jardín,,,Acepta Mascotas,,,,,Lavadero,Dormitorios en Suite: 1,,,,3m,1,,,
https://www.casasymas.com.uy/propiedad/200339-casa-en-venta-de-3-dormitorios-con-garage-en-buceo-montevideo,U$S 330.000Venta,3,1,138 m²,126m²,193m²,12m²,Garaje: 1,Parrillero,,Cocina Definida,1957,Jardín,,,,,1,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/164751-casa-en-venta-3-dormitorios-tres-cruces,U$S 159.000Venta,3,1,158 m²,119m²,158m²,,,,,Cocina Definida,1940,,,,,,,,Frente,Lavadero,,,,,,,,,
https://www.casasymas.com.uy/propiedad/182440-muy-buen-padron-en-carrasco-norte,U$S 410.000Venta,3,3,211 m²,211m²,525m²,,Garaje: 1,Parrillero,Este,Cocina Integrada,1967,Jardín,Dormitorios de Servicio: 1,Tiro balanceado y estufa a leña,Acepta Mascotas,Piscina,2,,,,Dormitorios en Suite: 1,,,,,,,,
https://www.casasymas.com.uy/propiedad/141074-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo,U$S 278.000Venta,3,2,145 m²,106m²,,,Garaje: 1,Parrillero,Este,Cocina Integrada,1940,Jardín,,,Acepta Mascotas,,2,,,,Dormitorios en Suite: 1,,,,,,,,
https://www.casasymas.com.uy/propiedad/105515-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,U$S 138.000Venta,2,1,93 m²,93m²,94m²,,Garaje: 0,,Norte,,,,,,,,1,,Frente,,,,,1,,,,,
https://www.casasymas.com.uy/propiedad/128645-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 1.750.000Venta,3,3,1050 m²,363m²,1050m²,63m²,,Parrillero,Norte,Cocina Definida,2007,Jardín,,Losa Radiante Eléctrica,Acepta Mascotas,Piscina,2,Seguridad 24hs del Barrio San Nicolas,,,Dormitorios en Suite: 1,,,,,,,,
https://www.casasymas.com.uy/propiedad/199317-casa-en-venta-de-4-dormitorios-con-garage-en-carrasco-montevideo,U$S 420.000Venta,4,4,250 m²,147m²,250m²,,Garaje: 1,Parrillero,Norte,Cocina Integrada,1974,Jardín,,,Acepta Mascotas,,2,,,,,Propiedad Horizontal,,,,,,,
https://www.casasymas.com.uy/propiedad/145158-casa-en-venta-de-2-dormitorios-en-camino-maldonado-montevideo,U$S 92.000Venta,2,1,500 m²,93m²,,,Cochera: 3,Parrillero,Sur,Cocina Definida,1970,,,,Acepta Mascotas,,,,,,,Propiedad Horizontal,,,,,,,
https://www.casasymas.com.uy/propiedad/151084-casa-en-venta-de-3-dormitorios-con-garage-en-malvin-montevideo,U$S 259.000Venta,3,2,105 m²,90m²,,,Cochera: 1,Parrillero,Oeste,Cocina Integrada,2025,Jardín,,,Acepta Mascotas,,2,,,,,Propiedad Horizontal,,,,,,,
https://www.casasymas.com.uy/propiedad/120146-casa-en-venta-de-3-dormitorios-con-garage-en-punta-gorda-montevideo,U$S 690.000Venta,3,3,305 m²,176m²,305m²,,Garaje: 1,,Sur,Cocina Definida,,,Dormitorios de Servicio: 1,,,,,,Frente,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/203062-casa-en-venta-de-3-dormitorios-en-la-blanqueada-montevideo,U$S 320.000Venta,3,3,286 m²,92m²,286m²,286m²,,,Oeste,,,,,,,,,,Frente,,,,,1,,,,,
https://www.casasymas.com.uy/propiedad/198329-casa-en-venta-de-4-dormitorios-en-carrasco-norte-montevideo,U$S 780.000Venta,4,,283 m²,283m²,697m²,283m²,,,Sur,,1970,,,,Acepta Mascotas,,,,Frente,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/169340-venta-de-divina-casa-ph-en-parque-rodo,U$S 280.000Venta,3,2,148 m²,148m²,,148m²,Garaje: 1,,,,1,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/147563-casa-en-venta-de-5-dormitorios-en-prado-montevideo,U$S 390.000Venta,5,4,678 m²,360m²,678m²,,,,,Cocina Definida,1928,,,,,,,,Frente,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/174669-casa-en-venta-de-4-dormitorios-en-prado-montevideo,U$S 395.000Venta,4,2,345 m²,185m²,160m²,,Garaje: 4,,Sur,Cocina Definida,1975,Jardín,,,Acepta Mascotas,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/203063-casa-en-venta-de-3-dormitorios-en-malvin-montevideo,U$S 290.000Venta,3,2,120 m²,120m²,210m²,120m²,,,Este,,,,,,,,,,Frente,,,,,1,,,,,
