url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Balcones,Garage,Año de Construcción,Superficie Terreno,Dormitorios Suite,Gastos Comúnes,Parrillero,Calefacción,Plantas,Cocina,Seguridad,Jardín,Acepta Mascotas,Dormitorios Servicio,Piscina,Orientación,Disposición,Propiedad Horizontal,Altura,Aptos por piso,Patio,Pisos Edificio,Muebles,Lavadero,Piso,Ascensor
https://www.casasymas.com.uy/propiedad/116424-casa-en-venta-de-3-dormitorios-con-garage-en-union-montevideo,U$S 89.000Venta,3,2,100 m²,,,Garaje: 1,,,,,,,,,,,Acepta Mascotas,,,Este,,Propiedad Horizontal,,,,,,,,
https://www.casasymas.com.uy/propiedad/183832-venta-casa-parque-rivera,U$S 145.000Venta,3,2,221 m²,68m²,,,,153m²,,UYU 2000,,,,Cocina Definida,,Jardín,,,,Norte,,,,,Patio,,,,,
https://www.casasymas.com.uy/propiedad/153933-casa-en-venta-de-3-dormitorios-en-maronas-montevideo,U$S 129.000Venta,3,1,205 m²,83m²,,Cochera: 2,1963,,,,,,1,Cocina Definida,,Jardín,Acepta Mascotas,,,Norte,,Propiedad Horizontal,,,,,,,,
https://www.casasymas.com.uy/propiedad/111111-casa-en-venta-de-4-dormitorios-en-parque-batlle-montevideo,U$S 1.090.000Venta,4,3,606 m²,463m²,,Garaje: 2,1948,606m²,Dormitorios en Suite: 2,,Parrillero,,2,Cocina Definida,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,Este,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/90752-casa-en-venta-de-5-dormitorios-con-garage-en-punta-gorda-montevideo,U$S 649.000Venta,5,4,360 m²,360m²,,Garaje: 1,,,Dormitorios en Suite: 1,,Parrillero,,2,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,Norte,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/119384-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,U$S 135.000Venta,2,1,57 m²,99m²,,,,57m²,,,,,,Cocina Definida,,,,,,Norte,Frente,,,,,,,,,
https://www.casasymas.com.uy/propiedad/206369-casa-en-venta-de-3-dormitorios-en-palermo-montevideo,U$S 128.000Venta,3,2,105 m²,105m²,,,2025,,,,,,,Cocina Definida,,,Acepta Mascotas,,,Este,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/81675-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 900.000Venta,4,4,1208 m²,297m²,,Garaje: 2,1966,1208m²,Dormitorios en Suite: 2,,Parrillero,full oil,2,Cocina Definida,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 2,,Oeste,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/193911-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-sur-montevideo,U$S 411.000Venta,3,3,200 m²,160m²,,Cochera: 1,,,,$U 5500,Parrillero,"Aire acondicionado, estufa de alto rendimiento",3,Cocina Definida,REJAS,Jardín,Acepta Mascotas,,Piscina,Norte,,Propiedad Horizontal,,,,,Muebles,,,
https://www.casasymas.com.uy/propiedad/203132-venta-casa-de-5-dormitorios-en-malvin,U$S 560.000Venta,5,3,543 m²,306m²,543m²,,,543m²,,,,,,Cocina Definida,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183831-venta-casa-carrasco,U$S 435.000Venta,3,2,184 m²,139m²,,,,45m²,,,,,,Cocina Definida,,Jardín,,,Piscina,Norte,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/105515-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,U$S 138.000Venta,2,1,93 m²,93m²,,Garaje: 0,,94m²,,,,,1,,,,,,,Norte,Frente,,,,,1,,,,
https://www.casasymas.com.uy/propiedad/125332-casa-en-venta-de-3-dormitorios-con-garage-en-puerto-del-buceo-montevideo,U$S 370.000Venta,3,3,250 m²,,,Cochera: 1,,,Dormitorios en Suite: 1,,,"Calefacción central con caldera, calefactor y estufa de leña",,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/72326-casas-en-alquiler-3-dormitorios-piscina-en-carrasco,U$S 1.150.000Venta,3,4,856 m²,301m²,,Cochera: 1,,856m²,Dormitorios en Suite: 1,,,Gas oil,2,Cocina Definida,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,Piscina,Norte,,,,,,,Muebles,,,
https://www.casasymas.com.uy/propiedad/151084-casa-en-venta-de-3-dormitorios-con-garage-en-malvin-montevideo,U$S 259.000Venta,3,2,105 m²,90m²,,Cochera: 1,2025,,,,Parrillero,,2,Cocina Integrada,,Jardín,Acepta Mascotas,,,Oeste,,Propiedad Horizontal,,,,,,,,
https://www.casasymas.com.uy/propiedad/161247-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 880.000Venta,4,6,1005 m²,338m²,,Garaje: 4,1989,1005m²,Dormitorios en Suite: 2,,,,,Cocina Definida,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,Piscina,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/181965-casa-en-venta-de-2-dormitorios-con-garage-en-buceo-montevideo,U$S 187.000Venta,2,1,163 m²,91m²,,Cochera: 1,1960,,,,Parrillero,,1,Cocina Integrada,,Jardín,Acepta Mascotas,,,,,Propiedad Horizontal,,,,,,,,
https://www.casasymas.com.uy/propiedad/123654-venta-casa-pocitos-4-dormitorios,U$S 420.000Venta,3,2,110 m²,90m²,,Garaje: 2,1965,,,,,,1,Cocina Definida,,Jardín,Acepta Mascotas,,,Norte,,Propiedad Horizontal,,,,,,,,
https://www.casasymas.com.uy/propiedad/198329-casa-en-venta-de-4-dormitorios-en-carrasco-norte-montevideo,U$S 780.000Venta,4,,283 m²,283m²,283m²,,1970,697m²,,,,,,,,,Acepta Mascotas,,,Sur,Frente,,,,,,,,,
https://www.casasymas.com.uy/propiedad/203063-casa-en-venta-de-3-dormitorios-en-malvin-montevideo,U$S 290.000Venta,3,2,120 m²,120m²,120m²,,,210m²,,,,,,,,,,,,Este,Frente,,,,,1,,,,
https://www.casasymas.com.uy/propiedad/122464-casa-en-venta-de-3-dormitorios-con-garage-en-buceo-montevideo,U$S 198.000Venta,3,1,110 m²,75m²,,Garaje: 1,,110m²,,,,,1,,,,,,,Norte,Frente,,,,,1,,,,
