url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Orientación,Popiedad Horizontal,Plantas,Cocina,Año de Construcción,Jardín,Acepta Mascotas,Gastos Comúnes,Piscina,Seguridad,Disposición,Superficie Balcones,Dormitorios Servicio,Pisos Edificio,Patio,Muebles,Altura,Aptos por piso,Lavadero
https://www.casasymas.com.uy/propiedad/130074-casa-en-venta-de-4-dormitorios-con-garage-en-punta-gorda-montevideo,U$S 390.000Venta,4,3,386 m²,205m²,386m²,Dormitorios en Suite: 1,Garaje: 1,,,,,,Cocina Definida,1980,,,,,,Frente,,,,,,,,
https://www.casasymas.com.uy/propiedad/169484-casa-de-tres-dormitorios-en-venta-en-piedras-blancas2-banos-con-cochera,U$S 75.000Venta,3,2,75 m²,75m²,,,Garaje: 1,,,Norte,,2,,,,,,,,Frente,,,2,,,,,
https://www.casasymas.com.uy/propiedad/19544-casa-en-venta-de-2-dormitorios-con-garage-en-san-nicolas-montevideo,U$S 1.800.000Venta,2,3,1202 m²,249m²,1202m²,,Cochera: 1,Parrillero,Estufa a leña,,Popiedad Horizontal,2,Cocina Definida,2021,Jardín,Acepta Mascotas,,Piscina,Barrio con seguridad,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/65075-casa-en-venta-de-4-dormitorios-con-garage-en-cordon-montevideo,U$S 299.000Venta,4,3,111 m²,111m²,,,Garaje: 1,,,Norte,,2,,,,,,,,Frente,,,2,,,,,
https://www.casasymas.com.uy/propiedad/46209-casa-en-venta-en-carrasco-norte-montevideo,U$S 240.000Venta,Monoambiente,,2647 m²,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/173471-venta-casa-carrasco-norte,U$S 360.000Venta,3,3,113 m²,108m²,200m²,Dormitorios en Suite: 1,Cochera: 1,Parrillero,,Este,Popiedad Horizontal,2,Cocina Definida,2025,Jardín,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/190818-venta-casa-3-dormitorios-carrasco-ayres-polo,U$S 404.000Venta,3,2,147 m²,93m²,,,,,,Norte,,,,,Jardín,Acepta Mascotas,,,,Frente,147m²,,1,Patio,,,,Lavadero
https://www.casasymas.com.uy/propiedad/65495-venta-casa-3-dormitorios-barrio-sur-ejido-y-cebollati-con-local-comercial-y-deposito,U$S 290.000Venta,3,1,298 m²,298m²,98m²,,,,,,,3,Cocina Integrada,1935,,,,,,,100m²,,,,,,,
https://www.casasymas.com.uy/propiedad/150387-vendo-casa-2-dormitorios-con-fondo,U$S 85.500Venta,2,1,100 m²,65m²,100m²,,Cochera: 0,Parrillero,,,Popiedad Horizontal,,Cocina Integrada,,Jardín,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/109325-casa-en-venta-de-4-dormitorios-en-atahualpa-montevideo,U$S 360.000Venta,4,3,191 m²,191m²,349m²,,Garaje: 4,,,Norte,,2,,,,,,,,Frente,,Dormitorios de Servicio: 1,2,,,,,
https://www.casasymas.com.uy/propiedad/154528-casa-en-venta-de-4-dormitorios-con-garage-en-malvin-montevideo,U$S 580.000Venta,4,3,500 m²,286m²,,,Garaje: 1,Parrillero,,,,,Cocina Definida,1976,Jardín,,,,,,,,,,,,,
