url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Orientación,Popiedad Horizontal,Plantas,Cocina,Año de Construcción,Jardín,Acepta Mascotas,Gastos Comúnes,Piscina,Seguridad,Disposición,Superficie Balcones,Dormitorios Servicio,Pisos Edificio,Patio,Muebles,Altura,Aptos por piso,Lavadero,Dormitorio
https://www.casasymas.com.uy/propiedad/72949-casa-en-venta-4-dormitorios-garaje-pocitos,725000.0,4,4.0,285.0,285.0,177.0,0,1,Parrillero,Radiadores a gas o bomba de calor,Sur,,2.0,Cocina Definida,1929.0,Jardín,Acepta Mascotas,,,,,,1,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/159162-casa-en-venta-de-2-dormitorios-en-tres-cruces-montevideo,119000.0,2,1.0,380.0,62.0,380.0,0,0,,,,,,Cocina Definida,1960.0,,Acepta Mascotas,,,,,,0,,,,,,,2.0
https://www.casasymas.com.uy/propiedad/182580-casa-en-venta-de-4-dormitorios-en-buceo-montevideo,780000.0,4,4.0,320.0,237.0,100.0,0,2,Parrillero,,,,3.0,Cocina Definida,2002.0,Jardín,Acepta Mascotas,,Piscina,,,,0,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/128325-casa-en-venta-de-3-dormitorios-en-jacinto-vera-montevideo,175000.0,3,2.0,100.0,100.0,,1,0,Parrillero,Hogar,,Popiedad Horizontal,2.0,Cocina Definida,1948.0,,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/166638-casa-en-venta-de-2-dormitorios-en-jacinto-vera-montevideo,127000.0,2,1.0,75.0,75.0,75.0,0,0,,,Norte,,,Cocina Definida,2014.0,,,,,,Frente,,0,,,,,,,2.0
https://www.casasymas.com.uy/propiedad/164717-venta-de-casa-barrio-palermo-a-reciclar-con-mas-de-5-ambientes,139000.0,3,1.0,105.0,105.0,105.0,0,0,,,,,,Cocina Definida,1929.0,,,,,,Frente,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/150898-casa-en-venta-de-4-dormitorios-con-garage-en-buceo-montevideo,345000.0,4,2.0,139.0,154.0,139.0,0,1,Parrillero,estufa a leña y aire acondicionado,Este,,3.0,Cocina Definida,1950.0,,,,,Alarma,,,0,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/163490-casa-de-tres-dormitorios-en-venta-en-pocitos-planta-baja,205000.0,3,1.0,90.0,90.0,,0,0,,,Norte,,1.0,,,,,,,,Frente,10.0,0,1.0,,,,,,3.0
https://www.casasymas.com.uy/propiedad/129840-casa-en-venta-de-5-dormitorios-en-carrasco-montevideo,2300000.0,5,6.0,,575.0,2696.0,3,0,Parrillero,Calefacción a gas,Norte,,2.0,,1960.0,Jardín,Acepta Mascotas,,Piscina,Alarma y Cámaras,,,1,,,,,,,5.0
https://www.casasymas.com.uy/propiedad/108517-casa-de-dos-dormitorios-en-venta-en-pocitos,218000.0,2,1.0,120.0,90.0,,0,0,,,Norte,,1.0,,,,,,,,Frente,10.0,0,1.0,,,,,,2.0
https://www.casasymas.com.uy/propiedad/165501-casa-en-venta-de-3-dormitorios-en-carrasco-sur-montevideo,810000.0,3,5.0,,226.0,421.0,1,2,Parrillero,,,,,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,,,,1,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/159099-casa-en-venta-de-3-dormitorios-con-garage-en-la-blanqueada-montevideo,179000.0,3,1.0,82.0,75.0,82.0,0,1,,,,,,Cocina Definida,1976.0,,,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/188273-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,1280000.0,3,6.0,480.0,386.0,,0,1,Parrillero,,Norte,,2.0,Cocina Definida,1974.0,Jardín,Acepta Mascotas,,,,,94.0,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/184732-casa-en-venta-de-4-dormitorios-en-manantiales-de-carrasco-montevideo,1240000.0,4,4.0,714.0,385.0,,2,2,Parrillero,,,,,Cocina Definida,,Jardín,,,Piscina,,,,1,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/115044-casa-en-venta-de-4-dormitorios-en-punta-gorda-montevideo,695000.0,4,4.0,599.0,368.0,,1,2,Parrillero,Losa,Norte,,2.0,Cocina Integrada,1997.0,Jardín,,,Piscina,,,,0,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/186913-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-norte-montevideo,530000.0,3,2.0,109.0,123.0,,1,1,Parrillero,,,,,Cocina Integrada,,Jardín,Acepta Mascotas,,Piscina,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/183425-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,360000.0,3,2.0,200.0,109.0,200.0,1,0,,,,,,Cocina Definida,2025.0,,,,,,Frente,,0,,,,,,Lavadero,3.0
https://www.casasymas.com.uy/propiedad/191229-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,411000.0,3,3.0,164.0,164.0,,0,1,,,Sur,,,Cocina Definida,1.0,Jardín,,5000.0,,,,,0,,Patio,Muebles,,,,3.0
https://www.casasymas.com.uy/propiedad/179323-casa-en-venta-de-3-dormitorios-en-brazo-oriental-montevideo,430000.0,3,3.0,314.0,277.0,314.0,0,2,,,,,,Cocina Definida,1958.0,Jardín,Acepta Mascotas,,,,,,1,,,,3.0,1.0,Lavadero,3.0
https://www.casasymas.com.uy/propiedad/153933-casa-en-venta-de-3-dormitorios-en-maronas-montevideo,129000.0,3,1.0,205.0,83.0,,0,2,,,Norte,Popiedad Horizontal,1.0,Cocina Definida,1963.0,Jardín,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/80043-casa-en-venta-de-15-dormitorios-en-ciudad-vieja-montevideo,550000.0,15,5.0,586.0,,277.0,0,0,,,Norte,,3.0,,,,,,,,,,0,,,,,,,15.0
https://www.casasymas.com.uy/propiedad/171502-casa-en-venta-de-2-dormitorios-con-garage-en-atahualpa-montevideo,198000.0,2,2.0,70.0,,,0,1,,,,Popiedad Horizontal,,,,,Acepta Mascotas,,,,,,0,,,,,,,2.0
https://www.casasymas.com.uy/propiedad/137673-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,1199999.0,4,4.0,1600.0,608.0,,2,6,Parrillero,Losa y Radiadores,,,4.0,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,"Camaras de Seguridad, Porton automatico, rejas",,,2,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/183831-venta-casa-carrasco,435000.0,3,2.0,184.0,139.0,45.0,0,0,,,Norte,,,Cocina Definida,,Jardín,,,Piscina,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/172385-casa-en-venta-de-2-dormitorios-en-goes-montevideo,105000.0,2,1.0,,45.0,,0,0,,,,,,Cocina Definida,1950.0,,,,,,,,0,,Patio,,3.0,1.0,,2.0
https://www.casasymas.com.uy/propiedad/151084-casa-en-venta-de-3-dormitorios-con-garage-en-malvin-montevideo,259000.0,3,2.0,105.0,90.0,,0,1,Parrillero,,Oeste,Popiedad Horizontal,2.0,Cocina Integrada,2025.0,Jardín,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/117530-casa-en-alquier-y-venta-de-8-dormitorios-en-pocitos-montevideo,1500000.0,8,5.0,,444.0,666.0,0,2,Parrillero,radiadores por gas,Norte,,2.0,Cocina Definida,1928.0,Jardín,Acepta Mascotas,,,rejas y alarma,,38.0,1,,,,,,,8.0
https://www.casasymas.com.uy/propiedad/162080-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,458000.0,3,3.0,293.0,150.0,293.0,1,0,,,,,,Cocina Definida,1.0,,,,Piscina,,Frente,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/178725-casa-en-venta-de-6-dormitorios-en-prado-montevideo,195000.0,6,2.0,500.0,200.0,300.0,0,2,,,Norte,,,,1960.0,,,,,,,,0,,,,,,,6.0
https://www.casasymas.com.uy/propiedad/66552-casa-en-alquier-y-venta-de-6-dormitorios-en-carrasco-norte-montevideo,1700000.0,6,6.0,10143.0,648.0,10143.0,1,4,Parrillero,Bomba a gasoil nueva,Oeste,,2.0,Cocina Definida,1946.0,Jardín,Acepta Mascotas,,,,,,1,,,,,,,6.0
https://www.casasymas.com.uy/propiedad/74195-casa-en-venta-de-3-dormitorios-en-punta-carretas-montevideo,439000.0,3,3.0,338.0,338.0,235.0,0,0,,,Oeste,,2.0,,,,,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/131600-casa-en-venta-de-4-dormitorios-en-malvin-montevideo,548000.0,4,4.0,600.0,240.0,600.0,0,2,Parrillero,"estufa, aire a. y losa",Oeste,,2.0,Cocina Definida,,Jardín,,,Piscina,,,,1,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/123500-casa-en-venta-de-2-dormitorios-en-aires-puros-montevideo,94000.0,2,2.0,,,,0,3,,,Oeste,,1.0,,,,,,,,Frente,,0,1.0,,,,,,2.0
