url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Balcones,Dormitorios Servicio,Dormitorios Suite,Garage,Gastos Comúnes,Calefacción,Orientación,Disposición,Popiedad Horizontal,Piso,Cocina,Aptos por piso,Pisos Edificio,Seguridad,Ascensor,Acepta Mascotas,Año de Construcción,Plantas,Piscina,Parrillero,Muebles,Lavadero,Superficie Terreno,Altura,Jardín,Patio
https://www.casasymas.com.uy/propiedad/104001-apartamento-en-venta-monoambiente-con-garage-en-punta-carretas-montevideo,U$S 130.000Venta,Monoambiente,1,32 m²,26m²,,,,Garaje: 1,$U 3500,aire acondicionado,Sur,Contrafrente,Popiedad Horizontal,7,Cocina Integrada,6,11,24 horas,Ascensor,Acepta Mascotas,2012,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/193042-apartamento-en-venta-de-3-dormitorios-en-banados-de-carrasco-montevideo,U$S 790.000Venta,3,4,295 m²,273m²,,,,Garaje: 2,$U 39000,,Sur,Frente,,,Cocina Definida,,,,,,1,,,,,,,,Jardín,Patio
https://www.casasymas.com.uy/propiedad/114802-apartamento-en-venta-de-3-dormitorios-en-cordon-montevideo,U$S 159.000Venta,3,2,93 m²,93m²,18m²,,,,$U 2800,,Oeste,Frente,,1,Cocina Definida,2,2,,,Acepta Mascotas,1953,,,Parrillero,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/198799-apartamento-de-1-dormitorio-a-estrenar-av-8-de-octubre-y-propios,U$S 131.053Venta,1,1,40.5 m²,37m²,3m²,,,Garaje: 0,,,Sur,Contrafrente,,7,,,,,Ascensor,,,,,Parrillero,,,,,,
https://www.casasymas.com.uy/propiedad/138663-amplio-apto-3-dorm-cochera-y-amenities,U$S 218.000Venta,3,2,107 m²,107m²,,,,Cochera: 1,,,Oeste,Frente,,,Cocina Definida,2,6,Portería de 12hs a 16hs,Ascensor,Acepta Mascotas,1975,,,Parrillero,,,,,Jardín,
https://www.casasymas.com.uy/propiedad/158793-apartamento-en-venta-de-3-dormitorios-en-punta-carretas-montevideo,U$S 930.000Venta,3,3,205 m²,186m²,,Dormitorios de Servicio: 1,Dormitorios en Suite: 2,Garaje: 2,$U 26542,,,,,,Cocina Definida,1,,,,Acepta Mascotas,1,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/191772-apartamento-en-venta-de-3-dormitorios-con-garage-en-montevideo,U$S 200.000Venta,3,2,104 m²,104m²,,,,Garaje: 1,$U 15650,,,Frente,,,Cocina Definida,,,,Ascensor,,1977,,,,,,,,,
https://www.casasymas.com.uy/propiedad/173055-apartamento-en-venta-de-3-dormitorios-en-pocitos-montevideo,U$S 168.000Venta,3,2,124 m²,73m²,,,,,$U 1500,,Oeste,Interior,,,Cocina Definida,,,,,,2025,,,,,,,,,Patio
https://www.casasymas.com.uy/propiedad/149157-arocena-a-mts-de-lawn-tennis,U$S 425.000Venta,3,4,150 m²,102m²,48m²,,Dormitorios en Suite: 3,Garaje: 1,UYU 26000,,Oeste,Frente,Popiedad Horizontal,1,Cocina Definida,2,3,24hs,Ascensor,,1997,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/126371-apartamento-en-venta-monoambiente-en-parque-batlle-montevideo,U$S 101.454Venta,Monoambiente,1,36.71 m²,23m²,5m²,,,Garaje: 0,,,Sur,Frente,Popiedad Horizontal,1,Cocina Integrada,5,6,,Ascensor,Acepta Mascotas,2026,,,Parrillero,Muebles,Lavadero,,,Jardín,
