url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Muebles,Orientación,Plantas,Año de Construcción,Seguridad,Jardín,Acepta Mascotas,Dormitorios Servicio,Piscina,Cocina,Popiedad Horizontal,Gastos Comúnes,Patio,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Altura,Aptos por piso,Ascensor,Piso
https://www.casasymas.com.uy/propiedad/110531-casa-en-venta-de-3-dormitorios-en-manantiales-maldonado,U$S 495.000Venta,3,2,110 m²,110m²,400m²,,Garaje: 0,,,,Norte,2,,,,,,Piscina,,,,,20m²,,2,,,,,
https://www.casasymas.com.uy/propiedad/171851-casa-en-venta-de-2-dormitorios-en-la-barra-maldonado,U$S 300.000Venta,2,2,1025 m²,,1025m²,,,,,Muebles,,,,,,,,,Cocina Definida,,,,,Frente,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/170275-casa-en-venta-de-3-dormitorios-en-punta-colorada-maldonado,U$S 282.000Venta,3,2,,,,,,,,,,,2023,,,,,Piscina,Cocina Definida,,,,,Frente,,,,,,
https://www.casasymas.com.uy/propiedad/192149-casa-en-alquiler-y-venta-de-4-dormitorios-en-pinar-del-faro-maldonado,U$S 840.000Venta,4,3,,,,,,,,,,,,,,,,Piscina,Cocina Definida,,,,,Frente,,,,,,
https://www.casasymas.com.uy/propiedad/163666-casa-en-venta-de-4-dormitorios-en-manga-montevideo,U$S 450.000Venta,4,5,,155m²,12907m²,,,,,,Sur,,1980,,Jardín,Acepta Mascotas,,,Cocina Definida,,,,,Frente,,,,1,,
https://www.casasymas.com.uy/propiedad/132795-casa-en-venta-de-2-dormitorios-en-rincon-del-indio-maldonado,U$S 480.000Venta,2,2,483 m²,163m²,483m²,Dormitorios en Suite: 1,,,,,,,2018,,,,,Piscina,Cocina Definida,,,,,Frente,,,,,,
https://www.casasymas.com.uy/propiedad/142152-casa-en-venta-de-5-dormitorios-en-cerro-montevideo,U$S 279.000Venta,5,3,344 m²,200m²,,,,,,Muebles,Sur,2,1970,,,Acepta Mascotas,,Piscina,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/39825-casa-en-alquiler-y-venta-de-6-dormitorios-con-garage-en-la-barra-maldonado,U$S 890.000Venta,6,6,824 m²,450m²,824m²,Dormitorios en Suite: 4,Garaje: 1,,,Muebles,,,,,,,Dormitorios de Servicio: 1,Piscina,Cocina Definida,,,,,Frente,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/30131-casa-en-venta-de-4-dormitorios-con-garage-en-barrio-cantegril-maldonado,U$S 450.000Venta,4,3,1000 m²,200m²,1000m²,Dormitorios en Suite: 2,Garaje: 1,,,Muebles,,,,,,,Dormitorios de Servicio: 1,,Cocina Definida,,,,,Frente,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/159391-casa-en-venta-de-3-dormitorios-con-garage-en-pinares-maldonado,U$S 215.000Venta,3,3,116 m²,116m²,116m²,Dormitorios en Suite: 1,Garaje: 1,,,,,,2022,,Jardín,Acepta Mascotas,,,Cocina Definida,,,Patio,,,,Lavadero,3m,1,,
